Clave de incidencia,Resumen,Tipo de Incidencia,Estado,Etiquetas,Creada,Descripción
SIGA-50,RD-02 Detectar ausencia de conectividad como riesgo critico del sistema,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: Detectar ausencia de conectividad como riesgo critico del sistema
Stakeholder: Docente;Coordinacion
Evidencia de origen: EV-13, EV-14
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin historia, criterio
Filas de la matriz: 1"
SIGA-51,RD-03 La plataforma debera utilizar una base de datos aprobada por la institucion o el equipo de TI,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: La plataforma debera utilizar una base de datos aprobada por la institucion o el equipo de TI
Stakeholder: Personal de TI
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin fuente, caso de uso, clase, historia, criterio
Filas de la matriz: 1"
SIGA-52,RD-04 El sistema solo podra controlar proyectores climatizacion y dispositivos tecnicamente compatibles,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: El sistema solo podra controlar proyectores climatizacion y dispositivos tecnicamente compatibles
Stakeholder: Personal de Infraestructura y Mantenimiento
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin fuente, historia, criterio
Filas de la matriz: 1"
SIGA-53,RD-05 Evidencia del sistema de camaras existente,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: Evidencia del sistema de camaras existente
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-07
Historia de usuario: HU-06, HU-16
Criterio de aceptacion: CA-06, CA-16
Caso de prueba: CP-RF-06, CP-RF-07, CP-RF-22
Marco legal: LOPDP Art. 26; Art. 4
Estado de traza: Restriccion de diseno
Filas de la matriz: 1"
SIGA-54,RD-06 La interfaz de usuario debera ejecutarse en navegadores modernos sin instalacion adicional,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: La interfaz de usuario debera ejecutarse en navegadores modernos sin instalacion adicional
Stakeholder: Docente;Estudiantes;Personal de Infraestructura y Mantenimiento
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin fuente, clase, historia, criterio
Filas de la matriz: 1"
SIGA-55,RD-08 Se priorizara la integracion de aulas piloto antes de una cobertura total de la facultad,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: Se priorizara la integracion de aulas piloto antes de una cobertura total de la facultad
Stakeholder: Coordinacion
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin fuente, caso de uso, clase, historia, criterio
Filas de la matriz: 1"
SIGA-56,RD-09 El sistema debera respetar las politicas institucionales y la normativa de proteccion de datos,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: El sistema debera respetar las politicas institucionales y la normativa de proteccion de datos
Stakeholder: Docente;Coordinacion
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: LOPDP Art. 7
Estado de traza: Restriccion de diseno - sin fuente, caso de uso, historia, criterio
Filas de la matriz: 1"
SIGA-57,RD-10 El acceso a funciones administrativas tecnicas y de control remoto debera estar restringido por roles,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: El acceso a funciones administrativas tecnicas y de control remoto debera estar restringido por roles
Stakeholder: Personal de TI
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin fuente, historia, criterio
Filas de la matriz: 1"
SIGA-58,RD-11 Las acciones de los usuarios deberan registrarse en bitacora para trazabilidad y auditoria,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: Las acciones de los usuarios deberan registrarse en bitacora para trazabilidad y auditoria
Stakeholder: Personal de TI
Caso de prueba: No aplica (restriccion de diseno)
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno - sin fuente, historia, criterio
Filas de la matriz: 1"
SIGA-59,RD-13 Dependencia del horario academico vigente,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: Dependencia del horario academico vigente
Stakeholder: Coordinacion
Evidencia de origen: EV-05
Historia de usuario: HU-11, HU-12, HU-13, HU-15, HU-18
Criterio de aceptacion: CA-11, CA-12, CA-13, CA-15, CA-18
Caso de prueba: CP-RF-13, CP-RF-15, CP-RF-16, CP-RF-20, CP-RF-21
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno
Filas de la matriz: 1"
SIGA-60,RD-17 Registro del proceso de mantenimiento fisico,Tarea,Por hacer,RD,05/sep/26 3:18 PM,"Objetivo: Registro del proceso de mantenimiento fisico
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-06
Historia de usuario: HU-07, HU-08, HU-09, HU-10
Criterio de aceptacion: CA-07, CA-08, CA-09, CA-10
Caso de prueba: CP-RF-08, CP-RF-10, CP-RF-11, CP-RF-12, CP-RF-17
Marco legal: No aplica No aplica
Estado de traza: Restriccion de diseno
Filas de la matriz: 1"
SIGA-61,RD-01 Utilizar protocolos de comunicacion compatibles con entornos IoT,Tarea,Por hacer,RD,06/sep/26 8:26 PM,"Objetivo: Utilizar protocolos de comunicacion compatibles con entornos IoT, tales como MQTT, HTTP o API REST, segun la validacion tecnica del Personal de Tecnologias de la Informacion

Stakeholder: Personal de Tecnologias de la Informacion

Evidencia de origen: No aplica (decision tecnica)

Caso de prueba: No aplica (restriccion de diseno)

Marco legal: No aplica No aplica

Estado de traza: Restriccion de diseno - sin historia, criterio

Filas de la matriz: 1"
