Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador
"Entonces, no eh son creo que eh debe de existir algún interior, aunque no a nivel de fábrica pero al menos en una universidad creo que debería haber algo, ¿no? Para estas claro que cuando vaya a haber una un mantenimiento por muy ligero que sea, vamos a ser el router de del justamente del donde yo estoy cerca se ha estropeado, se ha puesto mal. Entonces eso tiene que entrar a bueno, al proceso de contas públicas, alguien tiene que reportarlo y lo mismo eso tarde. tarde el tiempo que...",Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,RD-07;RD-15,EV-22,Munoz Q.
"que tenga que durar. Entonces los estudiantes para solucionar eso, lo que hacen es comprarse, lo enchufan y resuelven el problema, porque hasta que venga la autoridad, pasa un tiempo, termina el el  periodo académico, el primero o el segundo y todavía sigue alli.",Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,RF-01;RF-03;RF-04;RF-12,EV-22,Munoz Q.
"Bien, eh tenemos en la carrera de educación inicial dos laboratorios, pero todavía falta equipar, están por entregar el edificio. Dentro de este edificio que es el edificio uno, tenemos laboratorios de computación y este alrededor de dos salas que también están en eh reparación, están reformando, readecuando.",Necesidad_metadatos_laboratorio_por_carrera,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-23,Munoz Q.
"Bueno, antes de ingresar a dar clase, nosotros tenemos el enfoque de la conectividad. Tenemos que verificar que la computadora pues esté cargada, que tengamos los cables de acceso a la proyección, que estén en buen estado, que tengamos los dispositivos, por ejemplo, los parlantes cargados, ¿sí? Que tengamos óptimas condiciones para poder ir a impartir nuestra clase.",Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-23,Munoz Q.
"Bueno, inmediatamente que nos damos cuenta cuando no hay energía o cuando fallan cables, pues siempre tenemos algo de respaldo. Yo no solo tengo un cable, tengo varios, ¿no?, para tener plan A, plan B. Y si falta algo dentro del aula, alguna conexión internet no está adecuada, se reporta a coordinación para que ellos hagan el reporte a la instancia correspondiente.",Plan_contingencia_docente_ante_falla,Adopcion y confianza,RF-11;RF-12,EV-23,Munoz Q.
"Normalmente llamamos inmediatamente para que ellos formulen, hagan la inspección y luego formulen el requerimiento a través de un informe.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-23,Munoz Q.
"Bueno, nosotros siempre vamos, tenemos comunicación directa con las coordinaciones y averiguamos si está, en qué instancia se encuentra el requerimiento, la solicitud que se reportó, y ellos siempre nos tienen en comunicación, ¿no?, todo lo que realizan.",Desconexion_percibida_seguimiento_mantenimiento,Gestion de mantenimiento y tickets,RF-10;RF-23,EV-23,Munoz Q.
"Dentro de este semestre sí tuvimos algunos inconvenientes. Así es. Eh, inconvenientes con el tema de la energía eléctrica**. Se fue la energía, los aires acondicionados dejaron de funcionar y también pues no había conexión a internet. Entonces la señal tampoco eh dejaba conectarnos a la plataforma del SGA para tomar la asistencia. Teníamos que utilizar nuestros datos móviles para poder hacerlo.",Falla_suministro_electrico_afecta_clase,Monitoreo y visibilidad,RF-01;RF-03,EV-23,Munoz Q.
"De pronto, como utilizamos el correo electrónico, poder tener alguna notificación del sistema SGA o donde se detecte que en diferentes aulas o edificio hay una inconsistencia en la energía o de pronto no va a haber conexión en ese día para nosotros poder programarnos, ¿no? Planificar o rediseñar las actividades que tenemos planificadas para ese día.",Precedente_alertas_automaticas_en_SGA,Gestion de alertas,RF-10;RF-23,EV-23,Munoz Q.
"Nosotros manejamos lo que es Quipux, ¿ya? Ah. Y en el Quipux pues también tenemos al momento de ingresar una solicitud hay un recorrido. Sí. Y me hace mucho este... me viene mucho a... se parece, ¿no?, a aquello, ¿no?, lo que ustedes este proponen a través de este formato que presentan. El poder, desde mi rol como docente, poder reportar inmediatamente en cuanto yo encuentre la novedad, ¿no?, dentro del aula y que se esté verificando pues en qué estado se encuentra el seguimiento.",Necesidad_notificacion_estado_ticket,Gestion de mantenimiento y tickets,RF-10;RF-23,EV-23,Munoz Q.
"Bueno, nosotros que somos más académicos, el teléfono simplemente está como para poder marcar en el caso de emergencia. La computadora es nuestra herramienta de trabajo.",Preferencia_dispositivo_de_acceso_al_panel,Usabilidad de interfaz,RNF-05,EV-23,Munoz Q.
"Me llama la atención el poder ver la cantidad de reportes que se encuentran dentro de … de cada uno de los de los recuadros y también pues significan las necesidades que tiene dentro del edificio, las aulas. Sí. Y también pues puedo observar que eh podemos identificar la realidad de un aula antes de ingresar.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-01;RF-03,EV-23,Munoz Q.
"No, no le cambiaría mayor cosa porque si realmente no tenemos el cable HDMI, pues nos toca volcarnos a la parte tradicional: usar los marcadores, la pizarra, que es una es un plan B en este caso, ¿no? Nosotros estamos trabajando desde la conectividad, trabajar con la HDMI en los proyectores. Eh, también podría funcionar la parte de Bluetooth, también la conexión de los proyectores con con Bluetooth para no utilizar el cable. Podría ser otra opción, sí. Entonces, esa como que esa opción traería o de pronto estaría también como plantearla acá porque a veces el Bluetooth no funciona el de la computadora y no se puede conectar. A veces unos proyectores no solamente tienen el HDMI, sino que tienen el otro la otra conexión. En este edificio pasa eso. Muchas aulas no solamente tienen esta conexión, tienen otra, no recuerdo cómo se llama, pero es una conexión con adaptación de varias … adaptaciones, entonces eso tampoco funcionaría.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,RF-04,EV-23,Munoz Q.
"Eh, me prepararía porque, o sea, me sentiría bien porque tendría la oportunidad de preparar mi recurso y no fallar en mi clase y poder proporcionar pues el contenido que me toca en ese día. Sería muy muy lamentable eh llegar a un aula sin conocimiento y con toda la clase preparada y no poder impartirla, perder ese tiempo este valioso con los estudiantes porque no existe la conectividad y que yo, imagínese, haya este organizado un video, una clase bastante atractiva a través de la tecnología y que no pueda proyectarlos. Entonces, esto nos ayudaría de alguna forma a replantear la actividad y buscar otras formas de poder llegar al estudiante.",Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,RF-01;RF-03,EV-23,Munoz Q.
"Bueno, eh, vamos a ciegas nosotros prácticamente a cada aula, todos los días que vamos encontramos novedades, nos llevamos la sorpresa que no hay energía, no hay internet y toca eh replantear en ese momento la clase. Replantearla en ese momento, ¿no? Y toca pues no dar todos los contenidos, sino buscar una estrategia o una actividad práctica que nos ayude a ver el contenido, pero no de la forma que hubiéramos querido.",Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-23,Munoz Q.
